ChemicalName,MACCSKey,Relationship
"1,2-Propylene Oxide",maccs164,hasKey
"1,2-Propylene Oxide",maccs165,hasKey
"1,3,5-Trinitrobenzene",maccs024,hasKey
"1,3,5-Trinitrobenzene",maccs049,hasKey
"1,3,5-Trinitrobenzene",maccs056,hasKey
"1,3,5-Trinitrobenzene",maccs063,hasKey
"1,3,5-Trinitrobenzene",maccs070,hasKey
"1,3,5-Trinitrobenzene",maccs071,hasKey
"1,3,5-Trinitrobenzene",maccs080,hasKey
"1,3,5-Trinitrobenzene",maccs094,hasKey
"1,3,5-Trinitrobenzene",maccs102,hasKey
"1,3,5-Trinitrobenzene",maccs119,hasKey
"1,3,5-Trinitrobenzene",maccs122,hasKey
"1,3,5-Trinitrobenzene",maccs124,hasKey
"1,3,5-Trinitrobenzene",maccs130,hasKey
"1,3,5-Trinitrobenzene",maccs133,hasKey
"1,3,5-Trinitrobenzene",maccs135,hasKey
"1,3,5-Trinitrobenzene",maccs136,hasKey
"1,3,5-Trinitrobenzene",maccs140,hasKey
"1,3,5-Trinitrobenzene",maccs142,hasKey
"1,3,5-Trinitrobenzene",maccs146,hasKey
"1,3,5-Trinitrobenzene",maccs148,hasKey
"1,3,5-Trinitrobenzene",maccs156,hasKey
"1,3,5-Trinitrobenzene",maccs158,hasKey
"1,3,5-Trinitrobenzene",maccs159,hasKey
"1,3,5-Trinitrobenzene",maccs161,hasKey
"1,3,5-Trinitrobenzene",maccs162,hasKey
"1,3,5-Trinitrobenzene",maccs163,hasKey
"1,3,5-Trinitrobenzene",maccs164,hasKey
"1,3,5-Trinitrobenzene",maccs165,hasKey
"1,3-Butadiene",maccs034,hasKey
"1,3-Butadiene",maccs099,hasKey
"1,3-Dichloropropene",maccs099,hasKey
"1,3-Dichloropropene",maccs103,hasKey
"1,3-Dichloropropene",maccs134,hasKey
"1,3-Dichloropropene",maccs153,hasKey
"1,3-Dichloropropene",maccs155,hasKey
"1,3-Dinitrobenzene",maccs024,hasKey
"1,3-Dinitrobenzene",maccs049,hasKey
"1,3-Dinitrobenzene",maccs056,hasKey
"1,3-Dinitrobenzene",maccs063,hasKey
"1,3-Dinitrobenzene",maccs070,hasKey
"1,3-Dinitrobenzene",maccs071,hasKey
"1,3-Dinitrobenzene",maccs080,hasKey
"1,3-Dinitrobenzene",maccs094,hasKey
"1,3-Dinitrobenzene",maccs102,hasKey
"1,3-Dinitrobenzene",maccs119,hasKey
"1,3-Dinitrobenzene",maccs122,hasKey
"1,3-Dinitrobenzene",maccs124,hasKey
"1,3-Dinitrobenzene",maccs130,hasKey
"1,3-Dinitrobenzene",maccs133,hasKey
"1,3-Dinitrobenzene",maccs135,hasKey
"1,3-Dinitrobenzene",maccs136,hasKey
"1,3-Dinitrobenzene",maccs140,hasKey
"1,3-Dinitrobenzene",maccs142,hasKey
"1,3-Dinitrobenzene",maccs146,hasKey
"1,3-Dinitrobenzene",maccs148,hasKey
"1,3-Dinitrobenzene",maccs156,hasKey
"1,3-Dinitrobenzene",maccs158,hasKey
"1,3-Dinitrobenzene",maccs159,hasKey
"1,3-Dinitrobenzene",maccs161,hasKey
"1,3-Dinitrobenzene",maccs162,hasKey
"1,3-Dinitrobenzene",maccs163,hasKey
"1,3-Dinitrobenzene",maccs164,hasKey
"1,3-Dinitrobenzene",maccs165,hasKey
